episode_id,n_threads,messages,mean_quality,priority_acc,reply_acc,fact_recall,memory_fact_recall,p0_sla,p1_sla,mean_latency_min,invalid_rate,api_error_rate,input_tokens,output_tokens,calls,raw_invalid_total
ep-00000,50,180.0,0.7050000000000001,0.9666666666666667,0.22777777777777777,0.8888888888888888,0.4594594594594595,1.0,1.0,0.3850555555555534,0.0,0.0,297893.0,48658.0,180.0,0.0
ep-00001,105,180.0,0.6155555555555556,0.8666666666666667,0.14444444444444443,0.7888888888888889,0.20833333333333334,1.0,1.0,0.3927944444444489,0.0,0.0,297957.0,47607.0,180.0,0.0
