episode_id,n_threads,messages,mean_quality,priority_acc,reply_acc,fact_recall,memory_fact_recall,p0_sla,p1_sla,mean_latency_min,invalid_rate,api_error_rate,input_tokens,output_tokens,calls,raw_invalid_total
ep-00000,50,180.0,0.6955555555555556,0.6722222222222223,0.6055555555555555,0.8166666666666667,0.10810810810810811,1.0,1.0,0.3850555555555534,0.0,0.0,0.0,0.0,180.0,0.0
ep-00001,105,180.0,0.7055555555555556,0.6888888888888889,0.6944444444444444,0.7388888888888889,0.020833333333333332,1.0,1.0,0.3927944444444489,0.0,0.0,0.0,0.0,180.0,0.0
