n_threads,episodes,mean_quality,mean_priority_score,mean_reply_score,mean_fact_recall,mean_halluc,p0_sla,p1_sla,info_sufficient_rate,api_error_rate,invalid_rate,judge_input_tokens,judge_output_tokens,quality_ci95_lo,quality_ci95_hi,passes_threshold,passes_quality,passes_p0_sla
50,1,0.5844444444444444,0.6444444444444445,0.2722222222222222,0.8166666666666667,0.0,1.0,1.0,0.46111111111111114,0.0,0.0,0,0,0.5844444444444444,0.5844444444444444,False,False,True
105,1,0.5980555555555556,0.6888888888888889,0.33611111111111114,0.7388888888888889,0.0,1.0,1.0,0.4444444444444444,0.0,0.0,0,0,0.5980555555555556,0.5980555555555556,False,False,True
